,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Market Sizes | Historical/Forecast,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023
India,Concentrates,Off-trade Value RSP,INR million,Current Prices,"10,169.3","11,050.2","11,851.0","12,625.3","13,647.2","14,925.2","16,238.9"
India,Juice,Off-trade Volume,million litres,-,"1,721.0","1,911.2","2,118.2","2,233.2","2,464.2","2,668.4","2,893.5"
India,Juice,Off-trade Value RSP,INR million,Current Prices,"121,281.2","142,206.3","166,058.1","186,770.6","220,788.2","258,211.4","300,707.2"
India,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
India,RTD Coffee,Off-trade Value RSP,INR million,Current Prices,-,-,-,-,-,-,-
India,RTD Tea,Off-trade Volume,million litres,-,18.6,20.4,22.4,21.2,22.4,23.7,25.0
India,RTD Tea,Off-trade Value RSP,INR million,Current Prices,"1,375.9","1,522.3","1,715.5","1,645.8","1,794.0","1,977.0","2,192.8"
India,Energy Drinks,Off-trade Volume,million litres,-,28.6,30.7,33.8,23.6,27.5,30.2,33.3
India,Energy Drinks,Off-trade Value RSP,INR million,Current Prices,"11,479.8","12,766.7","14,177.4","9,972.0","11,747.4","13,042.3","14,439.8"
India,Sports Drinks,Off-trade Volume,million litres,-,25.8,29.6,33.9,28.8,35.2,38.8,42.8
India,Sports Drinks,Off-trade Value RSP,INR million,Current Prices,"2,500.7","3,127.1","3,837.1","3,348.8","4,243.4","4,922.5","5,700.3"
India,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
India,Asian Speciality Drinks,Off-trade Value RSP,INR million,Current Prices,-,-,-,-,-,-,-
Indonesia,HW Soft Drinks,Retail Volume,million litres,-,"1,458.2","1,523.6","1,608.0","1,339.7","1,383.7","1,422.5","1,444.1"
Indonesia,HW Soft Drinks,Retail Value RSP,IDR billion,Current Prices,"21,193.1","21,338.7","21,995.5","19,163.3","19,979.9","21,092.7","22,175.3"
Indonesia,Soft Drinks,Off-trade Volume,million litres,-,"17,041.0","17,389.2","17,902.5","15,365.9","15,838.0","16,403.2","17,030.9"
Indonesia,Soft Drinks,Off-trade Value RSP,IDR billion,Current Prices,"102,254.0","105,256.4","111,512.2","97,747.7","101,819.3","106,834.1","112,279.9"
Indonesia,Bottled Water,Off-trade Volume,million litres,-,"11,833.1","12,122.6","12,369.0","10,549.4","10,868.1","11,217.3","11,610.4"
Indonesia,Bottled Water,Off-trade Value RSP,IDR billion,Current Prices,"37,701.1","40,124.5","42,948.8","37,232.1","38,846.1","40,729.5","42,723.9"
Indonesia,Carbonates,Off-trade Volume,million litres,-,788.5,698.7,711.4,607.1,646.6,691.1,739.9
Indonesia,Carbonates,Off-trade Value RSP,IDR billion,Current Prices,"9,456.2","8,473.0","8,885.4","7,931.2","8,574.9","9,300.1","10,096.9"
Indonesia,Regular Carbonates,Off-trade Volume,million litres,-,784.8,695.5,708.6,604.7,644.0,688.5,737.1
Indonesia,Regular Carbonates,Off-trade Value RSP,IDR billion,Current Prices,"9,389.3","8,412.4","8,828.0","7,882.1","8,522.6","9,244.1","10,037.1"
Indonesia,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,3.7,3.2,2.8,2.4,2.5,2.7,2.8
Indonesia,Reduced Sugar Carbonates,Off-trade Value RSP,IDR billion,Current Prices,66.9,60.7,57.5,49.1,52.3,56.0,59.9
Indonesia,Concentrates,Off-trade Volume,million litres,-,108.6,111.9,113.0,99.1,99.6,101.1,102.8
Indonesia,Concentrates,Off-trade Value RSP,IDR billion,Current Prices,"8,323.9","8,168.1","8,041.6","7,571.5","7,780.9","8,049.1","8,396.1"
Indonesia,Juice,Off-trade Volume,million litres,-,923.0,930.4,958.6,899.7,925.7,954.6,985.4
Indonesia,Juice,Off-trade Value RSP,IDR billion,Current Prices,"10,829.3","10,837.3","10,758.1","10,193.2","10,523.9","10,924.2","11,376.9"
Indonesia,RTD Coffee,Off-trade Volume,million litres,-,116.2,197.2,248.7,213.9,217.7,225.1,233.2
Indonesia,RTD Coffee,Off-trade Value RSP,IDR billion,Current Prices,"2,759.0","3,578.8","4,688.0","4,219.2","4,345.8","4,563.0","4,789.0"
Indonesia,RTD Tea,Off-trade Volume,million litres,-,"2,357.5","2,411.8","2,572.1","2,217.0","2,272.5","2,374.7","2,486.1"
Indonesia,RTD Tea,Off-trade Value RSP,IDR billion,Current Prices,"20,151.6","20,924.0","22,631.7","19,122.1","19,792.4","20,781.4","21,831.3"
Indonesia,Energy Drinks,Off-trade Volume,million litres,-,100.8,94.3,90.3,75.3,79.1,83.3,87.8
Indonesia,Energy Drinks,Off-trade Value RSP,IDR billion,Current Prices,"2,987.7","2,824.8","2,813.5","2,299.2","2,425.6","2,571.2","2,727.8"
Indonesia,Sports Drinks,Off-trade Volume,million litres,-,510.3,513.9,523.4,429.1,450.6,474.5,500.1
Indonesia,Sports Drinks,Off-trade Value RSP,IDR billion,Current Prices,"6,158.0","6,329.6","6,689.0","5,596.9","5,893.6","6,217.7","6,564.3"
Indonesia,Asian Speciality Drinks,Off-trade Volume,million litres,-,303.0,308.5,316.1,275.4,278.1,281.4,285.1
Indonesia,Asian Speciality Drinks,Off-trade Value RSP,IDR billion,Current Prices,"3,887.4","3,996.3","4,056.2","3,582.3","3,636.0","3,697.9","3,773.7"
Japan,HW Soft Drinks,Retail Volume,million litres,-,"13,262.2","13,637.5","13,449.5","12,796.6","12,960.6","13,340.4","13,459.7"
Japan,HW Soft Drinks,Retail Value RSP,JPY billion,Current Prices,"3,204.4","3,272.7","3,273.9","3,065.4","3,098.4","3,210.3","3,262.4"
Japan,Soft Drinks,Off-trade Volume,million litres,-,"21,664.4","22,413.6","22,158.1","21,256.3","21,748.0","22,259.4","22,358.6"
Japan,Soft Drinks,Off-trade Value RSP,JPY billion,Current Prices,"5,820.6","5,880.7","5,864.8","5,468.6","5,575.9","5,859.3","6,132.4"
Japan,Bottled Water,Off-trade Volume,million litres,-,"4,798.8","5,307.4","5,244.3","5,533.3","5,905.2","6,071.2","6,159.7"
Japan,Bottled Water,Off-trade Value RSP,JPY billion,Current Prices,764.2,833.7,834.3,847.3,908.9,962.3,"1,011.2"
Japan,Carbonates,Off-trade Volume,million litres,-,"2,917.6","2,844.6","2,699.7","2,550.3","2,560.5","2,546.8","2,509.5"
Japan,Carbonates,Off-trade Value RSP,JPY billion,Current Prices,704.7,687.5,653.8,602.7,603.5,624.1,638.1
Japan,Regular Carbonates,Off-trade Volume,million litres,-,"2,367.1","2,344.1","2,226.4","2,100.7","2,088.7","2,066.9","2,031.9"
Japan,Regular Carbonates,Off-trade Value RSP,JPY billion,Current Prices,563.4,559.8,532.9,491.6,488.5,503.0,512.5
Japan,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,550.5,500.5,473.3,449.7,471.8,479.9,477.6
Japan,Reduced Sugar Carbonates,Off-trade Value RSP,JPY billion,Current Prices,141.3,127.8,120.9,111.1,114.9,121.2,125.6
Japan,Concentrates,Off-trade Volume,million litres,-,47.7,50.9,55.8,66.7,70.1,71.8,73.0
Japan,Concentrates,Off-trade Value RSP,JPY billion,Current Prices,44.3,47.3,50.0,58.0,60.8,63.0,66.7
Japan,Juice,Off-trade Volume,million litres,-,"2,230.3","2,186.2","2,089.1","1,960.9","1,928.4","1,919.7","1,907.7"
Japan,Juice,Off-trade Value RSP,JPY billion,Current Prices,747.4,735.3,713.5,667.8,657.3,685.8,707.8
Japan,RTD Coffee,Off-trade Volume,million litres,-,"3,208.3","3,266.3","3,242.2","3,011.8","3,069.4","2,935.8","2,906.3"
Japan,RTD Coffee,Off-trade Value RSP,JPY billion,Current Prices,"1,380.7","1,314.5","1,269.4","1,137.4","1,169.7","1,165.7","1,196.6"
Japan,RTD Tea,Off-trade Volume,million litres,-,"6,370.8","6,592.3","6,704.5","6,201.6","6,295.2","6,623.3","6,708.0"
Japan,RTD Tea,Off-trade Value RSP,JPY billion,Current Prices,"1,462.1","1,506.8","1,576.6","1,443.7","1,475.1","1,603.9","1,728.7"
Japan,Energy Drinks,Off-trade Volume,million litres,-,389.2,410.1,442.0,452.7,467.0,471.8,475.8
Japan,Energy Drinks,Off-trade Value RSP,JPY billion,Current Prices,292.5,311.4,336.5,332.4,329.6,336.5,345.8
