,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Belgium,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,16.6,16.4,16.2,16.9,16.7,16.8,17.2
Australia,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,88.6,101.0,101.4,114.0,121.3,124.8,131.6
Austria,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,3.1,3.0,2.9,2.9,3.0,2.9,2.7
Argentina,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"2,275.4","2,228.5","2,106.3","1,980.9","1,668.7","1,621.5","1,677.1"
Argentina,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,"2,274.1","2,227.1","2,105.3","1,980.0","1,667.4","1,619.8","1,675.1"
Chile,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,445.9,415.9,402.2,444.8,356.4,353.0,364.8
Switzerland,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,0.8,0.8,0.7,0.7,0.6,0.6,0.6
Colombia,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,-,-,-,-,-,-,-
Spain,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Finland,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,10.3,10.3,8.8,9.5,10.5,11.7,13.5
France,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,-,0.1,0.1,0.1,0.1,0.2,0.2
Greece,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Soft Drinks Packaging,Total,Flexible Aluminium/Paper,Retail/off-trade Unit Volume,million units,83.3,88.8,96.1,103.4,105.7,112.8,118.9
